case	version	outcome	parser_messages	status	errors	validated_status	identical_to_control	shapes
boolean-true	3.1.0	input rejected	1	success	1	failure		
boolean-false	3.1.0	input rejected	1	success	1	failure		
boolean-property	3.1.0	unsupported schema/feature	0	success	1	failure		error#Payload:structure, openapi#Value:structure
boolean-property-true	3.1.0	unsupported schema/feature	0	success	1	failure		error#Payload:structure, openapi#Value:structure
const-string	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
const-only	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
const-object	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
numeric-exclusive-bounds	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
schema-example	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:structure
schema-example	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:structure
schema-examples	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
binary-content-encoding	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
tuple-prefix-items	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
array-items-omitted	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
array-items-true	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
array-contains	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
array-unevaluated-items	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
if-then-else	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
dependent-required	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
dependent-schemas	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
unevaluated-properties	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
pattern-properties	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
property-names	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
